"sdr_method","avg_dimension_recovery_rate","avg_selected_d","avg_sd_selected_d","avg_condition_number","avg_runtime_seconds"
"DR",0.290833333333333,2.14666666666667,1.16188888888889,210.5465,0.464594444444444
"PHD",0.2075,2.26666666666667,1.34311111111111,210.929555555556,0.0994
"SIR",0.167777777777778,2.72,1.23361111111111,211.095944444444,0.0801333333333333
"SAVE",0.00416666666666667,1.00277777777778,0.0403333333333333,211.798666666667,0.168377777777778
