"sdr_method","avg_subspace_distance","avg_RMSE","avg_R2","avg_condition_number","avg_runtime_seconds"
"DR",1.8955,2.30985,-0.356072222222222,211.353,0.270977777777778
"SIR",1.89557777777778,2.45523888888889,-0.536622222222222,211.508944444444,0.0805777777777778
"PHD",1.91252777777778,2.16807777777778,-0.192061111111111,212.313166666667,0.0965166666666667
"SAVE",1.93787222222222,2.07851666666667,-0.0753055555555556,210.776722222222,0.178366666666667
