"cov_method","status","selected_d","min_eigenvalue","max_eigenvalue","condition_number","effective_rank","RMSE","MAE","MAPE","R2","Adjusted_R2","Correlation","runtime_seconds"
"sample","success",4,1.00000000002582e-06,20.5118287287353,20511828.7282056,70,2.84221678019076,2.25335990763134,4.98641706785802,0.938066069047329,0.93665043633984,0.975701695666901,0.163834095001221
"ridge","success",7,0.1,18.5606458558618,185.606458558618,70,1.56105190923902,1.23978925435402,2.82938547829795,0.981316900064112,0.980556541345791,0.991589415762652,0.0797100067138672
"oas","success",7,0.0598012214078608,19.2310429348074,321.582778446053,70,1.59099402824163,1.2452724695209,2.80903539503491,0.980593315460162,0.979803508531215,0.991028094397763,0.221805095672607
"lw","success",7,0.0536047920439712,19.3519466032854,361.011504109768,70,1.60391580048886,1.25485898780689,2.82280641037192,0.980276799995002,0.979474111622706,0.990829907676783,0.0738940238952637
"mec","success",6,1.00000000033093e-06,10.8770598972542,10877059.8936547,70,3.84837471884539,3.01752720228337,6.69101432024168,0.886454754608573,0.882516769219275,0.950256879234099,0.0903899669647217
