"x"
31
52.2
41.7
40.1
55.6
47
44.9
63.1
68.9
40.5
55.9
35.3
28.1
53.1
58.2
66.8
47.4
37.8
43.3
45.3
46
49.2
53
48.3
56.2
42.2
33.5
38
31.2
38.6
61.1
39
35.9
49.6
35.4
49.7
38.2
55.5
42.9
62.3
52.5
53.9
65.5
39.5
67.7
32.3
49.3
47.7
51.3
43.7
41.6
41.7
29
75.7
38.7
36.3
46
73.8
67
53.3
37.6
47.3
74.5
36.9
67.3
45.8
32.5
36.5
42
49
36.4
40.2
59.8
64.3
27.6
33.6
41.8
30.3
65.8
48
60.3
48.5
61.4
47.3
47.8
36.9
44.3
44.4
42.8
26.3
60.2
39.9
36.9
34.3
64.1
75.1
30.1
35.1
41
38.1
34.5
66.9
42.5
34.6
47.3
44.2
40.8
46.1
37.2
47.7
39.5
39
27.1
44
33.1
66.9
57.3
47.4
40
37.9
50.3
69.9
51.3
25.5
52.9
36.9
39.5
46.5
32.1
64.2
61.9
46.8
41.6
57.3
46.7
33.9
51.1
54.2
47.1
36.2
42.5
43.8
49.8
47.9
39.9
53
65.1
62.4
42.2
42.7
50.6
64
38.8
39.1
56.9
70.3
67.8
50.1
32.3
43.6
45.7
49.9
35.7
40.4
52.5
45.3
37.2
40.6
35.8
54.6
51.6
72.6
57.2
44.1
42.6
45
53.3
24.6
46.7
51.6
