"x"
18.2
46.1
38.5
31.9
54.4
45.9
42.9
58.9
68.8
40.8
54.3
36.7
25.8
50.5
49.5
61.9
46.5
38.1
36.5
41.9
42.7
51
46.3
51.4
57.4
42.1
34.8
39.8
31.2
36.4
57.6
44.1
33.9
46.6
29.8
45.3
44.1
55.3
35.1
57.4
50
54.1
65.1
33.5
68
32.1
49.5
48.8
44.3
40.2
46
45
29.3
60.8
41.1
32.5
48.4
70.7
65.4
46
37
41.1
70.2
35.1
58.4
45.4
35.3
39.4
42.5
46.7
28.7
37.3
61.1
61.8
23.4
27.8
41.8
23.9
63
47.4
55.5
47.5
57.2
37.2
43.8
37.1
45.4
46.2
29.8
24.3
59
32
36.8
33
59.5
71.7
29.3
41.8
33.7
35.3
37.8
62.2
41.7
38.1
44.4
42
40.5
43.3
31.8
48.2
36.9
33.8
28.5
44.1
32.4
62.5
56.2
46.2
32.7
33.2
49.1
66.6
38.4
29.5
47.7
40.5
38.8
42.6
31.7
62.4
57.8
41.2
40.7
60.4
46.8
34.2
49
53.4
41.1
34.4
33
39
55.4
51.8
34.6
46.5
66.7
62.4
40.6
38.3
45.7
61.8
37
35.2
48.3
70.1
65.5
50.2
36.5
38
41.2
40.3
36.8
47.7
51.5
44.8
35.6
35.7
31.6
47.3
42.5
71.3
57
43.6
43.9
35.7
52.2
28.3
42.8
42.1
